Col_ID,Description,Flag for Removal,Flag for Rename,Category,Rename ideas,
MEM_shcoeffs_L15M7C_lcc,,Y,,,,
MEM_shcoeffs_L15M7S_lcc,,Y,,,,
MEM_shcoeffs_L15M8C_lcc,,Y,,,,
MEM_shcoeffs_L15M8S_lcc,,Y,,,,
MEM_shcoeffs_L15M9C_lcc,,Y,,,,
MEM_shcoeffs_L15M9S_lcc,,Y,,,,
MEM_shcoeffs_L16M0C_lcc,,Y,,,,
MEM_shcoeffs_L16M0S_lcc,,Y,,,,
MEM_shcoeffs_L16M10C_lcc,,Y,,,,
MEM_shcoeffs_L16M10S_lcc,,Y,,,,
MEM_shcoeffs_L16M11C_lcc,,Y,,,,
MEM_shcoeffs_L16M11S_lcc,,Y,,,,
MEM_shcoeffs_L16M12C_lcc,,Y,,,,
MEM_shcoeffs_L16M12S_lcc,,Y,,,,
MEM_shcoeffs_L16M13C_lcc,,Y,,,,
MEM_shcoeffs_L16M13S_lcc,,Y,,,,
MEM_shcoeffs_L16M14C_lcc,,Y,,,,
MEM_shcoeffs_L16M14S_lcc,,Y,,,,
MEM_shcoeffs_L16M15C_lcc,,Y,,,,
MEM_shcoeffs_L16M15S_lcc,,Y,,,,
MEM_shcoeffs_L16M16C_lcc,,Y,,,,
MEM_shcoeffs_L16M16S_lcc,,Y,,,,
MEM_shcoeffs_L16M1C_lcc,,Y,,,,
MEM_shcoeffs_L16M1S_lcc,,Y,,,,
MEM_shcoeffs_L16M2C_lcc,,Y,,,,
MEM_shcoeffs_L16M2S_lcc,,Y,,,,
MEM_shcoeffs_L16M3C_lcc,,Y,,,,
MEM_shcoeffs_L16M3S_lcc,,Y,,,,
MEM_shcoeffs_L16M4C_lcc,,Y,,,,
MEM_shcoeffs_L16M4S_lcc,,Y,,,,
MEM_shcoeffs_L16M5C_lcc,,Y,,,,
MEM_shcoeffs_L16M5S_lcc,,Y,,,,
MEM_shcoeffs_L16M6C_lcc,,Y,,,,
MEM_shcoeffs_L16M6S_lcc,,Y,,,,
MEM_shcoeffs_L16M7C_lcc,,Y,,,,
MEM_shcoeffs_L16M7S_lcc,,Y,,,,
MEM_shcoeffs_L16M8C_lcc,,Y,,,,
MEM_shcoeffs_L16M8S_lcc,,Y,,,,
MEM_shcoeffs_L16M9C_lcc,,Y,,,,
MEM_shcoeffs_L16M9S_lcc,,Y,,,,
MEM_shcoeffs_L1M0C_lcc,,Y,,,,
MEM_shcoeffs_L1M0S_lcc,,Y,,,,
MEM_shcoeffs_L1M10C_lcc,,Y,,,,
MEM_shcoeffs_L1M10S_lcc,,Y,,,,
MEM_shcoeffs_L1M11C_lcc,,Y,,,,
MEM_shcoeffs_L1M11S_lcc,,Y,,,,
MEM_shcoeffs_L1M12C_lcc,,Y,,,,
MEM_shcoeffs_L1M12S_lcc,,Y,,,,
MEM_shcoeffs_L1M13C_lcc,,Y,,,,
MEM_shcoeffs_L1M13S_lcc,,Y,,,,
MEM_shcoeffs_L1M14C_lcc,,Y,,,,
MEM_shcoeffs_L1M14S_lcc,,Y,,,,
MEM_shcoeffs_L1M15C_lcc,,Y,,,,
MEM_shcoeffs_L1M15S_lcc,,Y,,,,
MEM_shcoeffs_L1M16C_lcc,,Y,,,,
MEM_shcoeffs_L1M16S_lcc,,Y,,,,
MEM_shcoeffs_L1M1C_lcc,,Y,,,,
MEM_shcoeffs_L1M1S_lcc,,Y,,,,
MEM_shcoeffs_L1M2C_lcc,,Y,,,,
MEM_shcoeffs_L1M2S_lcc,,Y,,,,
MEM_shcoeffs_L1M3C_lcc,,Y,,,,
MEM_shcoeffs_L1M3S_lcc,,Y,,,,
MEM_shcoeffs_L1M4C_lcc,,Y,,,,
